selection_mode;model;corruption_type;corruption_level;accuracy;precision;recall;f1_score
all;RandomForest;feature_swapping;0.65;0.9557017543859649;0.971000488171093;0.9071428571428571;0.9375058621150304
all;RandomForest;feature_swapping;0.7;0.9535087719298245;0.9720612329016618;0.9011904761904763;0.9337909492986961
all;RandomForest;feature_swapping;0.75;0.9399122807017545;0.9801366262914708;0.8547619047619047;0.9118357664859579
all;RandomForest;feature_swapping;0.8;0.9399122807017545;0.9712214263116626;0.8630952380952381;0.9130385042658891
all;RandomForest;feature_swapping;0.85;0.9442982456140351;0.968446822139604;0.880952380952381;0.9200237935932725
all;RandomForest;feature_swapping;0.9;0.9280701754385964;0.9735060536878486;0.8285714285714286;0.8925158187435487
all;RandomForest;feature_swapping;0.95;0.9096491228070175;0.9579243866380495;0.7940476190476191;0.8641918509613712
all;RandomForest;gaussian_noise;0.0;0.9701754385964912;0.9974679487179487;0.9214285714285715;0.9578676641548413
all;RandomForest;gaussian_noise;0.05;0.9657894736842106;0.993554318488529;0.9130952380952382;0.9515405036610141
all;RandomForest;gaussian_noise;0.1;0.9649122807017545;0.993588056680162;0.9107142857142858;0.9502268218357288
all;RandomForest;gaussian_noise;0.15;0.9644736842105264;0.9949358974358974;0.9083333333333334;0.9495480334198559
all;RandomForest;gaussian_noise;0.2;0.9640350877192982;0.9973684210526315;0.9047619047619048;0.9487300299325616
all;RandomForest;gaussian_noise;0.25;0.9609649122807017;0.9935897435897436;0.9;0.9443105893949776
all;RandomForest;gaussian_noise;0.3;0.9605263157894737;0.9896371776634935;0.9023809523809524;0.9438676536730206
all;RandomForest;gaussian_noise;0.35;0.9574561403508772;0.9883854907539119;0.8952380952380953;0.9393413583032292
all;RandomForest;gaussian_noise;0.4;0.9570175438596491;0.9883248987854252;0.894047619047619;0.9387118916182671
all;RandomForest;gaussian_noise;0.45;0.9535087719298245;0.9856220593062698;0.8869047619047619;0.9335043636625915
all;RandomForest;gaussian_noise;0.5;0.9478070175438595;0.9816765145712514;0.875;0.9251514509478644
all;RandomForest;gaussian_noise;0.55;0.9557017543859649;0.9845680010266017;0.894047619047619;0.9368679810945787
all;RandomForest;gaussian_noise;0.6;0.95;0.9817050552576868;0.880952380952381;0.9284228255592873
all;RandomForest;gaussian_noise;0.65;0.9482456140350877;0.9765717894007369;0.880952380952381;0.9261271391343687
all;RandomForest;gaussian_noise;0.7;0.9429824561403508;0.9695635137740402;0.8726190476190476;0.9183235732979739
all;RandomForest;gaussian_noise;0.75;0.9333333333333333;0.9602060783097934;0.855952380952381;0.9043062866296564
all;RandomForest;gaussian_noise;0.8;0.9184210526315789;0.923081847558741;0.851190476190476;0.884986951138659
all;RandomForest;gaussian_noise;0.85;0.9114035087719298;0.9198873918512662;0.8357142857142857;0.874796315992651
all;RandomForest;gaussian_noise;0.9;0.8649122807017544;0.8731836563058433;0.7416666666666667;0.7965158506893093
all;RandomForest;gaussian_noise;0.95;0.8302631578947368;0.830646085134995;0.7011904761904761;0.7524482267812546
all;RandomForest;missing_features;0.0;0.9701754385964912;0.9974679487179487;0.9214285714285715;0.9578676641548413
all;RandomForest;missing_features;0.05;0.9671052631578947;0.9962500000000001;0.9142857142857143;0.9533744411283775
all;RandomForest;missing_features;0.1;0.9644736842105264;0.9961858974358975;0.9071428571428571;0.949503466623977
all;RandomForest;missing_features;0.15;0.9649122807017545;0.99875;0.9059523809523811;0.9499625227264931
all;RandomForest;missing_features;0.2;0.9627192982456141;0.9948043184885289;0.9035714285714287;0.9468932645725895
all;RandomForest;missing_features;0.25;0.9596491228070174;0.991153846153846;0.8988095238095237;0.9424519104327687
all;RandomForest;missing_features;0.3;0.9570175438596491;0.9923060053981108;0.8904761904761905;0.9384060445508166
all;RandomForest;missing_features;0.35;0.9592105263157894;0.9923043184885291;0.8964285714285714;0.9417972129791622
all;RandomForest;missing_features;0.4;0.9526315789473683;0.9832845230438299;0.8869047619047619;0.9323058601318523
all;RandomForest;missing_features;0.45;0.9535087719298245;0.9817053154665478;0.8904761904761905;0.9337108207796023
all;RandomForest;missing_features;0.5;0.9557017543859649;0.9936201079622131;0.8857142857142858;0.9362810361180486
all;RandomForest;missing_features;0.55;0.9548245614035087;0.991084806293407;0.8857142857142858;0.9351262440677743
all;RandomForest;missing_features;0.6;0.9491228070175438;0.9844331716924785;0.8761904761904761;0.9267396467836073
all;RandomForest;missing_features;0.65;0.9486842105263158;0.9831879855564066;0.8761904761904761;0.9262385720254864
all;RandomForest;missing_features;0.7;0.9390350877192983;0.9676167717181837;0.8642857142857142;0.9124330678592709
all;RandomForest;missing_features;0.75;0.9438596491228071;0.9783755706552897;0.8678571428571429;0.9190447010847803
all;RandomForest;missing_features;0.8;0.9416666666666667;0.9702366805181983;0.869047619047619;0.9157559606219323
all;RandomForest;missing_features;0.85;0.9385964912280702;0.9790827729663342;0.8523809523809524;0.9103468089427189
all;RandomForest;missing_features;0.9;0.9210526315789475;0.9483723772794086;0.8357142857142857;0.8850184617580416
all;RandomForest;missing_features;0.95;0.9;0.9590463322293672;0.7714285714285715;0.839581673109681
all;RandomForest;outliers;0.0;0.9701754385964912;0.9974679487179487;0.9214285714285715;0.9578676641548413
all;RandomForest;outliers;0.05;0.9653508771929825;0.9974358974358974;0.9083333333333334;0.9507387873105172
all;RandomForest;outliers;0.1;0.9697368421052632;0.9974999999999999;0.9202380952380953;0.9572351720352646
all;RandomForest;outliers;0.15;0.9662280701754385;0.9949021592442644;0.9130952380952382;0.9521416027275602
all;RandomForest;outliers;0.2;0.9627192982456141;0.9961858974358975;0.9023809523809524;0.9467613013818118
all;RandomForest;outliers;0.25;0.9635964912280702;0.9936201079622131;0.9071428571428571;0.9482816246059788
all;RandomForest;outliers;0.3;0.9618421052631578;0.9949021592442644;0.9011904761904763;0.9455610372545898
all;RandomForest;outliers;0.35;0.9600877192982455;0.9884902159244264;0.9023809523809524;0.9432609017532348
all;RandomForest;outliers;0.4;0.9605263157894737;0.9898220147562252;0.9023809523809524;0.9438131630222811
all;RandomForest;outliers;0.45;0.9557017543859649;0.9870287765794826;0.8916666666666666;0.9365127969366519
all;RandomForest;outliers;0.5;0.9592105263157894;0.9847338385833251;0.9035714285714285;0.942000546772678
all;RandomForest;outliers;0.55;0.9539473684210525;0.9870595531346493;0.8869047619047619;0.9338837063041152
all;RandomForest;outliers;0.6;0.9557017543859649;0.9872125944943659;0.8916666666666666;0.9363767775532619
all;RandomForest;outliers;0.65;0.9482456140350877;0.9818883242134205;0.8761904761904763;0.9253530048353724
all;RandomForest;outliers;0.7;0.9447368421052632;0.9818116667778994;0.8666666666666666;0.9196052472482334
all;RandomForest;outliers;0.75;0.95;0.9736322293650936;0.8892857142857142;0.928459313590869
all;RandomForest;outliers;0.8;0.9451754385964912;0.9704931085531214;0.8797619047619047;0.921205175976033
all;RandomForest;outliers;0.85;0.9359649122807017;0.9753921503263608;0.8488095238095237;0.9063938604304138
all;RandomForest;outliers;0.9;0.9293859649122806;0.9692672905452258;0.8380952380952381;0.8950337408877601
all;RandomForest;outliers;0.95;0.9021929824561404;0.9620633317041246;0.7714285714285715;0.8454860906282405
all;RandomForest;random_feature_drop;0.0;0.9701754385964912;0.9974679487179487;0.9214285714285715;0.9578676641548413
all;RandomForest;random_feature_drop;0.05;0.9671052631578947;1.0;0.9107142857142858;0.9531580655631288
all;RandomForest;random_feature_drop;0.1;0.9679824561403508;0.99875;0.9142857142857143;0.9545816038329159
all;RandomForest;random_feature_drop;0.15;0.9692982456140351;0.9974679487179487;0.919047619047619;0.9566041854862993
all;RandomForest;random_feature_drop;0.2;0.9657894736842106;0.9923363697705803;0.9142857142857143;0.9516171352993418
all;RandomForest;random_feature_drop;0.25;0.9635964912280702;0.9921994565415618;0.9083333333333334;0.9482972520477666
all;RandomForest;random_feature_drop;0.3;0.9609649122807017;0.9948043184885289;0.8988095238095237;0.9442508144301393
all;RandomForest;random_feature_drop;0.35;0.9605263157894737;0.9858923751686909;0.9059523809523811;0.9440997497703527
all;RandomForest;random_feature_drop;0.4;0.9592105263157894;0.9882875132217238;0.9;0.9419862764380105
all;RandomForest;random_feature_drop;0.45;0.9587719298245615;0.9896033026954079;0.8976190476190476;0.9412255656298314
all;RandomForest;random_feature_drop;0.5;0.9583333333333334;0.989638864573075;0.8964285714285714;0.9405768314526162
all;RandomForest;random_feature_drop;0.55;0.9557017543859649;0.988319564503775;0.8904761904761905;0.9367018855842566
all;RandomForest;random_feature_drop;0.6;0.9517543859649124;0.9804584290768501;0.8869047619047619;0.9310562174649801
all;RandomForest;random_feature_drop;0.65;0.9548245614035087;0.9844714349977508;0.8916666666666666;0.9355726977303853
all;RandomForest;random_feature_drop;0.7;0.9464912280701754;0.9768308337291007;0.8761904761904763;0.9233303097455989
all;RandomForest;random_feature_drop;0.75;0.9456140350877194;0.9752485532090794;0.875;0.922046737427791
all;RandomForest;random_feature_drop;0.8;0.9355263157894737;0.9510967023437542;0.8714285714285713;0.9088754706909794
all;RandomForest;random_feature_drop;0.85;0.9223684210526315;0.9370297925801777;0.8476190476190476;0.8897681379366379
all;RandomForest;random_feature_drop;0.9;0.8925438596491228;0.8921434650718989;0.805952380952381;0.8461423784557478
all;RandomForest;random_feature_drop;0.95;0.8780701754385964;0.8710962297041208;0.7892857142857143;0.8268316125494153
all;RandomForest;top_k_drop;0.0;0.9701754385964912;0.9974679487179487;0.9214285714285715;0.9578676641548413
all;RandomForest;top_k_drop;0.05;0.9653508771929825;0.9961538461538462;0.9095238095238095;0.9507670669695985
all;RandomForest;top_k_drop;0.1;0.9504385964912281;0.9881560710508079;0.8761904761904761;0.9286966863812856
all;RandomForest;top_k_drop;0.15;0.9394736842105263;0.9718214672162041;0.8607142857142858;0.9127753284768053
