corruption_type,corruption_key,level,scenario,model_pipeline,metric,value
Gaussian Noise,gaussian,0.25,scenario_A,SVM / FS,acc_std,0.01916
Gaussian Noise,gaussian,0.25,scenario_A,SVM / FS,auc_mean,0.975335
Gaussian Noise,gaussian,0.25,scenario_A,SVM / FS,prec_mean,0.948331
Gaussian Noise,gaussian,0.25,scenario_A,SVM / FS,rec_mean,0.954386
Gaussian Noise,gaussian,0.25,scenario_B,ANN / Full,acc_mean,0.971429
Gaussian Noise,gaussian,0.25,scenario_B,ANN / Full,acc_std,0.013187
Gaussian Noise,gaussian,0.25,scenario_B,ANN / Full,auc_mean,0.992673
Gaussian Noise,gaussian,0.25,scenario_B,ANN / Full,prec_mean,0.978991
Gaussian Noise,gaussian,0.25,scenario_B,ANN / Full,rec_mean,0.975439
Gaussian Noise,gaussian,0.25,scenario_B,ANN / PCA,acc_mean,0.967033
Gaussian Noise,gaussian,0.25,scenario_B,ANN / PCA,acc_std,0.015541
Gaussian Noise,gaussian,0.25,scenario_B,ANN / PCA,auc_mean,0.989061
Gaussian Noise,gaussian,0.25,scenario_B,ANN / PCA,prec_mean,0.959258
Gaussian Noise,gaussian,0.25,scenario_B,ANN / PCA,rec_mean,0.989474
Gaussian Noise,gaussian,0.25,scenario_B,ANN / FS,acc_mean,0.936264
Gaussian Noise,gaussian,0.25,scenario_B,ANN / FS,acc_std,0.018906
Gaussian Noise,gaussian,0.25,scenario_B,ANN / FS,auc_mean,0.981011
Gaussian Noise,gaussian,0.25,scenario_B,ANN / FS,prec_mean,0.947894
Gaussian Noise,gaussian,0.25,scenario_B,ANN / FS,rec_mean,0.950877
Gaussian Noise,gaussian,0.25,scenario_B,SVM / Full,acc_mean,0.971429
Gaussian Noise,gaussian,0.25,scenario_B,SVM / Full,acc_std,0.008791
Gaussian Noise,gaussian,0.25,scenario_B,SVM / Full,auc_mean,0.99515
Gaussian Noise,gaussian,0.25,scenario_B,SVM / Full,prec_mean,0.972646
Gaussian Noise,gaussian,0.25,scenario_B,SVM / Full,rec_mean,0.982456
Gaussian Noise,gaussian,0.25,scenario_B,SVM / PCA,acc_mean,0.969231
Gaussian Noise,gaussian,0.25,scenario_B,SVM / PCA,acc_std,0.008223
Gaussian Noise,gaussian,0.25,scenario_B,SVM / PCA,auc_mean,0.995562
Gaussian Noise,gaussian,0.25,scenario_B,SVM / PCA,prec_mean,0.969128
Gaussian Noise,gaussian,0.25,scenario_B,SVM / PCA,rec_mean,0.982456
Gaussian Noise,gaussian,0.25,scenario_B,SVM / FS,acc_mean,0.942857
Gaussian Noise,gaussian,0.25,scenario_B,SVM / FS,acc_std,0.022413
Gaussian Noise,gaussian,0.25,scenario_B,SVM / FS,auc_mean,0.981218
Gaussian Noise,gaussian,0.25,scenario_B,SVM / FS,prec_mean,0.951388
Gaussian Noise,gaussian,0.25,scenario_B,SVM / FS,rec_mean,0.957895
Gaussian Noise,gaussian,0.25,scenario_C,ANN / Full,acc_mean,0.973626
Gaussian Noise,gaussian,0.25,scenario_C,ANN / Full,acc_std,0.005383
Gaussian Noise,gaussian,0.25,scenario_C,ANN / Full,auc_mean,0.995046
Gaussian Noise,gaussian,0.25,scenario_C,ANN / Full,prec_mean,0.972464
